2023-06-10 09:08:56BE_932: (163ms) 99% TIMER > Flying: 0, position: 1, look: 27, positionLook: 0, sum: 32BE_0, median: 36 > 27BE_ Player version: V1_13BE_ TPS: [19BE_362564634048727, 19BE_947375657035767, 19BE_989576607787914, 19BE_996577375573704]
2023-06-10 09:08:57BE_89: (163ms) 99% TIMER > Flying: 0, position: 0, look: 23, positionLook: 2, sum: 33BE_0, median: 36 > 27BE_ Player version: V1_13BE_ TPS: [19BE_999123498414434, 19BE_988901718012542, 19BE_996705145026237, 19BE_99877563520249]
2023-06-10 09:08:58BE_88: (163ms) 99% TIMER > Flying: 0, position: 1, look: 21, positionLook: 1, sum: 30BE_0, median: 28 > 27BE_ Player version: V1_13BE_ TPS: [19BE_985145952336286, 20BE_02812541640976, 19BE_99979574981926, 19BE_999916442593538]
2023-06-10 09:08:59BE_884: (163ms) 99% TIMER > Flying: 0, position: 0, look: 23, positionLook: 15, sum: 30BE_0, median: 28 > 27BE_ Player version: V1_13BE_ TPS: [19BE_998630401796387, 20BE_00457269223674, 19BE_99994923739551, 20BE_000256256172207]
2023-06-10 09:09:00BE_878: (163ms) 99% TIMER > Flying: 0, position: 1, look: 18, positionLook: 16, sum: 29BE_0, median: 28 > 27BE_ Player version: V1_13BE_ TPS: [20BE_004395121642506, 20BE_000806255834448, 20BE_000121186800975, 20BE_00104550967389]
2023-06-10 09:09:01BE_878: (163ms) 99% TIMER > Flying: 0, position: 1, look: 18, positionLook: 20, sum: 32BE_0, median: 35 > 27BE_ Player version: V1_13BE_ TPS: [20BE_684492615492896, 19BE_999673965981664, 20BE_000035607663396, 20BE_000018058682972]
2023-06-10 09:09:02BE_899: (163ms) 99% TIMER > Flying: 0, position: 1, look: 32, positionLook: 1, sum: 33BE_0, median: 35 > 27BE_ Player version: V1_13BE_ TPS: [20BE_335814881167195, 20BE_000742626573686, 19BE_99991305657796, 20BE_000254599529892]
2023-06-10 09:09:03BE_887: (163ms) 99% TIMER > Flying: 0, position: 0, look: 29, positionLook: 7, sum: 36BE_0, median: 36 > 27BE_ Player version: V1_13BE_ TPS: [19BE_948174821347713, 19BE_995018222214668, 19BE_998919978725446, 19BE_99962897583863]
2023-06-10 09:09:04BE_878: (163ms) 99% TIMER > Flying: 0, position: 3, look: 9, positionLook: 16, sum: 34BE_0, median: 35 > 27BE_ Player version: V1_13BE_ TPS: [20BE_003787032945173, 20BE_037424038139875, 20BE_001336931630004, 19BE_999997214755943]
2023-06-10 09:09:05BE_905: (163ms) 99% TIMER > Flying: 0, position: 1, look: 20, positionLook: 1, sum: 31BE_0, median: 34 > 27BE_ Player version: V1_13BE_ TPS: [19BE_995921247980576, 19BE_999699906502872, 20BE_002163806610962, 20BE_000414720866157]
2023-06-10 09:09:06BE_879: (163ms) 99% TIMER > Flying: 0, position: 6, look: 18, positionLook: 7, sum: 30BE_0, median: 31 > 27BE_ Player version: V1_13BE_ TPS: [19BE_896620779614107, 20BE_002540642368857, 19BE_99822592031523, 19BE_999460466266335]
2023-06-10 09:09:07BE_902: (163ms) 99% TIMER > Flying: 0, position: 0, look: 28, positionLook: 2, sum: 29BE_0, median: 30 > 27BE_ Player version: V1_13BE_ TPS: [19BE_82437894726344, 19BE_992249472698074, 19BE_999001452723988, 19BE_99928378638235]
2023-06-10 09:09:10BE_878: (163ms) 99% TIMER > Flying: 0, position: 8, look: 14, positionLook: 13, sum: 28BE_0, median: 30 > 27BE_ Player version: V1_13BE_ TPS: [20BE_000927370998856, 20BE_0067495663972, 19BE_999978264090288, 20BE_00186220977512]
2023-06-10 09:09:12BE_114: (162ms) 99% TIMER > Flying: 0, position: 1, look: 22, positionLook: 1, sum: 27BE_0, median: 28 > 27BE_ Player version: V1_13BE_ TPS: [20BE_101668247699727, 19BE_999752197070354, 20BE_00013071685434, 19BE_999979574798637]
2023-06-10 09:09:13BE_143: (162ms) 99% TIMER > Flying: 0, position: 0, look: 31, positionLook: 2, sum: 27BE_0, median: 28 > 27BE_ Player version: V1_13BE_ TPS: [19BE_315856675227014, 19BE_947550452084823, 19BE_98548838978698, 19BE_995060544634548]
2023-06-10 09:09:17BE_886: (162ms) 99% TIMER > Flying: 0, position: 7, look: 3, positionLook: 31, sum: 28BE_0, median: 34 > 27BE_ Player version: V1_13BE_ TPS: [20BE_815975494164707, 20BE_034746561482777, 20BE_00630519121201, 19BE_99964967338099]
2023-06-10 09:09:18BE_952: (162ms) 99% TIMER > Flying: 0, position: 3, look: 21, positionLook: 8, sum: 33BE_0, median: 34 > 27BE_ Player version: V1_13BE_ TPS: [21BE_066189907386395, 20BE_083681560981084, 19BE_999976762227, 20BE_000294085768704]
2023-06-10 09:09:19BE_878: (162ms) 99% TIMER > Flying: 0, position: 3, look: 27, positionLook: 6, sum: 33BE_0, median: 34 > 27BE_ Player version: V1_13BE_ TPS: [19BE_79161059724001, 19BE_977265394524387, 19BE_99544951344868, 19BE_99849956815101]
2023-06-10 09:09:20BE_879: (162ms) 99% TIMER > Flying: 0, position: 6, look: 5, positionLook: 9, sum: 32BE_0, median: 34 > 27BE_ Player version: V1_13BE_ TPS: [20BE_03208842889475, 19BE_998725688865285, 19BE_999693953883284, 19BE_999931934320536]
2023-06-10 09:09:22BE_13: (162ms) 99% TIMER > Flying: 0, position: 1, look: 29, positionLook: 1, sum: 32BE_0, median: 32 > 27BE_ Player version: V1_13BE_ TPS: [19BE_94372942954635, 19BE_998399560413926, 19BE_99903692037835, 19BE_999677579664493]
2023-06-10 09:09:59BE_901: (158ms) 99% TIMER > Flying: 0, position: 12, look: 0, positionLook: 28, sum: 27BE_0, median: 35 > 27BE_ Player version: V1_13BE_ TPS: [20BE_322234045591863, 19BE_992511824355493, 19BE_99836914559515, 19BE_999488699649515]
2023-06-10 09:10:00BE_879: (158ms) 99% TIMER > Flying: 0, position: 2, look: 20, positionLook: 9, sum: 27BE_0, median: 31 > 27BE_ Player version: V1_13BE_ TPS: [19BE_956864383159814, 19BE_995872661588592, 19BE_999190259785287, 19BE_99978378069312]
2023-06-10 09:10:01BE_954: (158ms) 99% TIMER > Flying: 0, position: 7, look: 27, positionLook: 4, sum: 31BE_0, median: 38 > 27BE_ Player version: V1_13BE_ TPS: [20BE_4234539885354, 20BE_00018896245199, 19BE_999981158551083, 20BE_000009056648544]
2023-06-10 09:10:03BE_08: (158ms) 99% TIMER > Flying: 0, position: 1, look: 21, positionLook: 1, sum: 34BE_0, median: 38 > 27BE_ Player version: V1_13BE_ TPS: [19BE_6424157918046, 19BE_966392621848165, 19BE_99314730850714, 19BE_997749573160654]
2023-06-10 09:10:04BE_016: (158ms) 99% TIMER > Flying: 0, position: 2, look: 2, positionLook: 0, sum: 27BE_0, median: 31 > 27BE_ Player version: V1_13BE_ TPS: [19BE_224153430607622, 19BE_938286867608664, 19BE_98652714693984, 19BE_995710120239718]
2023-06-10 09:10:21BE_878: (157ms) 99% TIMER > Flying: 0, position: 17, look: 13, positionLook: 10, sum: 27BE_0, median: 34 > 27BE_ Player version: V1_13BE_ TPS: [22BE_06517592644973, 20BE_00480941357824, 19BE_99998500874457, 20BE_00002390227301]
