2023-06-11 22:30:59BE_343: (0ms) 98% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_24745286682516385BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_97988937820961, 19BE_994443860962974, 19BE_999107255251438, 19BE_999760798305353]
2023-06-11 22:30:59BE_344: (0ms) 81% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_20440245424164213BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_97988937820961, 19BE_994443860962974, 19BE_999107255251438, 19BE_999760798305353]
2023-06-11 22:31:01BE_301: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2759088510722123BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_464962189119216, 19BE_96836588712225, 19BE_99670792937566, 19BE_99819045560403]
2023-06-11 22:31:01BE_386: (0ms) 87% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_21992445612073433BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_464962189119216, 19BE_96836588712225, 19BE_99670792937566, 19BE_99819045560403]
2023-06-11 22:31:09BE_403: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2505540638265421BE_ WalkSpeed: 0BE_2, VelY: -0BE_22768848754498797BE_ Player version: V1_20BE_ TPS: [19BE_99234510699117, 19BE_996551652657498, 20BE_000878896954628, 19BE_999645823316612]
2023-06-11 22:31:09BE_932: (0ms) 89% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_22306148143507282BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [19BE_964271727694836, 19BE_995730045486916, 19BE_999925863274814, 19BE_999947253161334]
2023-06-11 22:31:21BE_481: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_2848602299374428BE_ WalkSpeed: 0BE_2, VelY: -0BE_5824428773508716BE_ Player version: V1_20BE_ TPS: [19BE_72811774624175, 19BE_994853238798463, 19BE_999894543022727, 19BE_999504827882298]
2023-06-11 22:31:22BE_039: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_310919535732316BE_ WalkSpeed: 0BE_2, VelY: -0BE_1552320045166016BE_ Player version: V1_20BE_ TPS: [20BE_01965208727102, 20BE_0039386398248, 19BE_998356887068763, 19BE_999546668475706]
2023-06-11 22:31:22BE_058: (0ms) 100% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_3297107012215674BE_ WalkSpeed: 0BE_2, VelY: -0BE_1552320045166016BE_ Player version: V1_20BE_ TPS: [20BE_01965208727102, 20BE_0039386398248, 19BE_998356887068763, 19BE_999546668475706]
2023-06-11 22:31:22BE_136: (0ms) 99% NOSLOWDOWN > Soul sandBE_ Distance from/to : 0BE_24927166305055534BE_ WalkSpeed: 0BE_2, VelY: -0BE_0784000015258789BE_ Player version: V1_20BE_ TPS: [20BE_01965208727102, 20BE_0039386398248, 19BE_998356887068763, 19BE_999546668475706]
